Alternative New Code,D365 Name,Serial Required
1050002740,"DISC, GRINDER, CERAMIC, PFERD, 230-7, SGP STEELOX",no
1050003560,"NOZZLE TIP, 50MM, 45077700, RSS",no
1050002750,"SAUCER CUP BRUSH, 7 X 5/8, WALTER",no
1050008020,"WELDING ROD, SILVER, 15%, Ø1/8",no
2050028640,"PIPE CUTTER, W/QUICK-CLUTCH, 2.4M CHAIN, TX-21Q",no
1050008340,"WELDING WIRE, HARDFACE, CN-O, 1.6MM, 15KG",no
1050004050,"BLADE, BANDSAW, 48-39-0511, 3 PCS, MILWAUKEE",no
1050004060,"BLADE, BANDSAW, 48-39-0561, 3 PCS, MILWAUKEE",no
2050028650,"DETAIL TORCH, W / SPARK GAP, ST2200T, BERNZOMATIC",no
1050004070,"BLADE, RECIPROCATING, 48-00-5302, 3 PCS, MILWAUKEE",no
1050004940,"INSERT, LATHE, KGT5N-UE6020",no
2070041780,"APPLICATOR GUN, E20HP, E3151, 50ML, LOCTITE",no
1050008680,"TORCH HOLDER, GOUGING GUN, K-4000",no
1050008530,"ELECTRODE HOLDER, NUT + SCREW, K-4000",no
2030004070,"VALVE, AIR PASSAGE, K-4000",no
2070041790,"IMPELLER, J10090-011.CR.50, 90KW, AMANDLA",no
1050008350,"WELDING WIRE, TUBULAR, 3/32, 1.6mm, NOM E71T1",no
1050008540,"WELDING NOZZLE, CO KH725 MIG WIRE, LINCOLN ELECTRIC",no
1050002760,"FLAPPING DISC, GRIT 60, 125MM",no
1050002770,"WIRE BRUSH CUP, TWIST KNOT, 125MM",no
1050002780,"WIRE WHEEL, TWIST KNOT, 125MM",no
1050008360,"WELDING WIRE, TUBULAR, 1/16, 1.6mm, NOM E71T1",no
1050008690,"INSULATING TIP, K-4000",no
1030004070,"ADROX 825Y, FLORECENT MAGNETIC PARTICLE POWDER, 50633730",no
1030002260,"MARKING PAINT, RED, 12 PER BOX, UNDERGROUND SURVEY, AEROMARK",no
1030002270,"MARKING PAINT, YELLOW,12 P/BOX, UNDERGROUND SURVEY, AEROMARK",no
1030005200,"MARKER, RED GASKET",no
1010001320,"FIRERO DRILL, HSS, 9.5mm",no
1050003570,"TORCH NOZZLE, C5, WC INSERT, 91843 0000, PART 195, SUPERJET",no
1030002280,"MARKING PAINT, GREEN, 12 P/BOX, UNDERGROUND SURVEY, AEROMARK",no
1050002790,"WIRE CUP BRUSH, 4"" 5/8-11, WALTER",no
1050002800,"ZIP CUT, 4-1/2X3/64X7/8, TYPE 1, WALTER",no
1050008550,"CRATCH BRUSH, V-GROOVE , SAIT 3X14X.014CS",no
1050002270,"FLASHBACK ARRESTOR, SA1181R8, TORCH MOUNT",no
1050002260,"FLASHBACK ARRESTOR, SA118TR, REGULATOR MOUNT",no
1050002280,"FLASHBACK ARRESTOR, SA1881L8, TORCH MOUNT",no
1050008030,"WELD ROD, GENERAL PURPOSE, 2.5MM, 5KG",no
1040000120,WELDER LEATHER SPATS,no
1040000130,"WELDING CURTAIN, 3M X 2M, YELLOW",no
1030000030,"SPANJAARD, LECTRO KLEEN, 400ML",no
1030003860,"GASKET MAKER, RED, 90ML, BOSTIK",no
1040006830,"HELMET, AUTO-DARK, ADJUSTABLE RED",no
1010001330,"HC MODEL REGULATOR, ACCETYLENE, SINGLE STAGE",no
2020008970,"WELDING CABLE, 35MM",no
2020008980,"WELDING CABLE, 50MM",no
2020011670,"WELD CONNECTOR, MALE, 35MM",no
1050008560,"WELD CONNECTOR, MALE, 50MM",no
2020011010,"EARTH CLAMP, 400A",no
1050004360,"CUTTING INSERT, 4MM, GW1M0400G030N-GM, MITSUBISHI",no
2040000450,"IMPALLER, MTB, T27 SCRUBBER",no
1050002810,"GRINDING DISC, METAL, DEPRESSED CENTRE, 230mm, KLINGSPOR",no
1050000190,"CUTTING DISC, METAL, FLAT TYPE, 230mm, KLINGSPOR",no
2050019310,"CROSSBY CLAMP, Ø13MM WIRE ROPE",no
2050019320,"CROSSBY CLAMP, Ø16MM WIRE ROPE",no
1030004080,"NITROGEN, 9.3KG",no
1050003580,"NOZZLE, HOSE NOZZLE, ADJUSTABLE, BRASS",no
1050002820,"SIAFLAP, STANDARD DISCS, 7'', GRAIN 40",no
1050002830,"SIAFLAP, STANDARD DISCS, 7'', GRAIN 80",no
1050002840,"SIAFLAP, STANDARD DISCS, 7'', GRAIN 60",no
1080000450,"HINGE BULLET, 16 X 70MM",no
1040003500,"LEAK DETECTION, GAS, 500ml, FAF0001, GASARC",no
1120001050,"LABELING TAPE, NG/YELLOW, 18MM X 8M, TZE-S641, BROTHER",no
1120001060,"LABELING TAPE, OF/SILVER, 24MM X 8M, TZE-S951, BROTHER",no
2070024670,"WELDING PLUG, STEEL, 63A, 3+E",no
2070037460,"WELDING SOCKET, STEEL, 63A, 3+E",no
1010001340,"TOOTH INSERT, BRAKEOUT TOOL, THOR",no
1010001350,"SPRAY, PREPARED BATH, 10.5 OZ MOD. 14AM",no
1050001170,"CENTER DRILL, 6.3 X 16MM",no
1080000010,"PLATE, 170 X 120CM, CLEAR ACRYLIC, 8MM LASER CUT",no
1080000020,"PLATE, 36 X 37CM, CLEAR ACRYLIC, 5MM LASER CUT",no
2070039200,"TAP SET, 1"" NPT",no
2070039210,"TAP SET, 3/4"" BSP",no
1050008830,"WELDING CLOTH, FIRE RETARDANT",no
1050003590,"GAS CUTTING NOZZLE, HARRIS 6290 6NX TYPE",no
1050008040,"BRAZING ROD EXTENTION, OXY/ACET, MIXER SAF",no
1050008700,"FLAME CATCHER VALVE, GAS TORCH",no
1050008370,"WELDING WIRE, 1.2mm, SFA, AWS A5.20, ESAB, 15 KG",no
2050038190,"DEFLECTOR BOX, 90 DEGREE",no
1050008710,"CARD, CUP, 3'', 5/8'' THREAD",no
1050002320,"FLAP, 686634, BG28",no
2050028660,"LEDGE, 482518, BG28",no
